TEMP_C,PRESSURE_PA,PING_TIME_US
23.20,99240,10262
23.10,99240,10209
23.10,99241,10234
23.10,99245,10234
23.10,99243,10338
23.10,99244,10234
23.10,99242,10280
23.10,99244,10338
23.00,99239,10414
23.00,99246,10414
23.00,99246,10233
23.00,99244,10338
23.00,99251,10338
23.00,99240,10338
23.00,99254,10313
23.00,99251,10235
23.00,99251,10233
23.00,99252,10285
22.90,99256,10207
22.90,99253,10259
22.90,99252,10285
22.90,99248,10409
22.90,99247,10287
22.90,99248,10312
22.90,99248,10287
22.90,99254,10281
22.80,99251,10262
22.80,99253,10234
22.80,99247,10262
22.80,99250,10364
22.80,99247,10262
22.70,99252,10364
22.80,99251,10262
22.70,99249,10237
22.70,99255,10210
22.70,99249,10237
22.70,99250,10237
22.70,99249,10264
22.70,99248,10263
22.70,99251,10264
22.60,99249,10266
22.60,99248,10264
22.60,99252,10413
22.60,99248,10238
22.60,99248,10264
22.60,99247,10393
22.60,99246,10258
22.60,99249,10264
22.60,99247,10238
22.60,99251,10288
22.60,99242,10238
22.60,99248,10264
22.60,99245,10289
22.50,99249,10238
22.50,99247,10291
22.50,99246,10365
22.50,99241,10210
22.50,99244,10365
22.50,99252,10235
22.50,99254,10289
22.50,99246,10289
22.50,99254,10365
22.50,99248,10263
22.50,99245,10314
22.50,99248,10262
22.50,99253,10417
22.50,99247,10260
22.50,99251,10313
22.50,99253,10237
22.50,99250,10289
22.40,99253,10262
22.40,99252,10289
22.40,99249,10262
22.40,99252,10288
22.40,99261,10262
22.40,99252,10235
22.40,99248,10234
22.40,99255,10208
22.40,99256,10262
22.40,99250,10237
22.40,99254,10237
22.40,99251,10388
22.40,99252,10233
22.40,99250,10234
22.40,99247,10207
22.40,99249,10260
22.40,99250,10314
22.40,99250,10260
22.40,99253,10313
22.40,99250,10262
22.40,99259,10417
22.40,99250,10237
22.40,99251,10444
22.40,99257,10289
22.40,99252,10235
22.40,99252,10255
22.40,99251,10314
22.40,99255,10364
